//Type,ID,Name,BasePrice,Quantity,SubclassAttribute
B,25206,Energy Drink,6.99,80,FALSE
P,91297,Baby Spinach,5.34,29,7/12/2026
E,69485,Electric Kettle,88.6,12,12
P,99798,Romaine Lettuce,3.37,31,6/3/2026
B,38729,Classic Cola,6.53,80,FALSE
P,3857,Baby Spinach,14.33,38,6/9/2026
B,29984,Diet Soda Can,7.87,102,TRUE
E,45224,Blender Pro,87.29,11,36
B,90400,Classic Cola,8.02,80,FALSE
E,11621,Electric Mixer,63.3,17,12
B,9941,Energy Drink,5.14,32,FALSE
E,15553,Coffee Maker,67.86,24,12
P,45181,Whole Milk,14.59,32,6/13/2026
E,18686,Electric Mixer,22.16,14,36
B,52138,Apple Juice,2.68,46,FALSE
B,24941,Diet Soda Can,6.28,19,FALSE
E,50366,Electric Kettle,62.29,2,6
B,26587,Diet Soda Can,9.14,35,FALSE
B,82664,Organic Green Tea,4.75,58,TRUE
P,70841,Fresh Strawberries,9.09,8,6/7/2026
E,65687,Coffee Maker,83.62,19,6
E,41523,Electric Mixer,98.31,22,6
B,33651,Classic Cola,3.62,106,TRUE
B,81975,Diet Soda Can,8.46,89,FALSE
E,67017,Coffee Maker,42.08,16,36
E,8991,Blender Pro,41.06,14,36
P,21087,Organic Eggs,9.77,40,7/1/2026
P,2061,Organic Eggs,2.76,20,6/26/2026
P,81034,Romaine Lettuce,5.91,23,6/2/2026
P,67731,Fresh Strawberries,13.36,17,6/1/2026
E,89258,Blender Pro,81.19,12,12
E,83715,Electric Mixer,40.98,8,6
E,44561,Toaster Oven,16.3,8,6
E,34236,Coffee Maker,15.84,10,12
E,17590,Electric Mixer,109.86,5,6
P,26611,Organic Eggs,4.04,60,6/18/2026
E,34666,Electric Mixer,22.5,4,6
E,32703,Mini Rice Cooker,42.03,3,36
E,53420,Mini Rice Cooker,104.47,3,12
P,21026,Whole Milk,9.88,42,7/13/2026
B,18696,Classic Cola,6.62,64,FALSE
E,30024,Electric Mixer,112.22,17,12
B,28848,Apple Juice,5.39,19,TRUE
B,88019,Energy Drink,4.23,60,TRUE
E,46927,Coffee Maker,52.95,10,36
B,65365,Organic Green Tea,7.81,10,TRUE
B,5953,Apple Juice,9.8,25,TRUE
